t,x,y,z,vx,vy,vz,ox,oy,oz,wx,wy,wz
0.178798,-0.3160777,0.1807706,0.80095446,0.74954784,-5.154459,-2.3611453,7.154008,-0.0034521448,-31.878132,1.3833328,-2.0996642,-0.24873243
0.17996661,-0.31607577,0.18075213,0.8009529,0.74954534,-5.1544228,-2.3611407,7.1535974,-0.0034529415,-31.877928,1.3832288,-2.0991259,-0.24872692
0.18113522,-0.3160738,0.18073335,0.80095094,0.74954337,-5.1543827,-2.3611379,7.1532044,-0.0034536705,-31.877747,1.3831241,-2.0985863,-0.2487213
0.18230385,-0.31607202,0.18071416,0.8009492,0.7495408,-5.154341,-2.361133,7.152799,-0.0034544202,-31.877584,1.3830199,-2.0980444,-0.24871549
0.18347245,-0.3160701,0.18069693,0.80094653,0.7495383,-5.154303,-2.3611295,7.1524034,-0.0034551388,-31.877398,1.3829169,-2.097512,-0.24871017
0.18464106,-0.31606808,0.18067706,0.8009451,0.74953574,-5.154268,-2.3611255,7.1520143,-0.0034559295,-31.877205,1.3828129,-2.096967,-0.24870408
0.18580969,-0.31606632,0.18066108,0.80094326,0.7495335,-5.154232,-2.361122,7.151626,-0.0034566375,-31.877033,1.3827088,-2.0964441,-0.24869879
0.1869783,-0.31606445,0.18064255,0.80094147,0.7495313,-5.154189,-2.3611186,7.1512513,-0.0034573732,-31.87684,1.3826035,-2.0959077,-0.24869311
0.18814692,-0.31606257,0.18062323,0.8009397,0.74952894,-5.1541557,-2.3611138,7.150861,-0.0034580575,-31.876677,1.3825,-2.0953658,-0.24868709
0.18931553,-0.31606075,0.18060464,0.8009379,0.749527,-5.154118,-2.3611107,7.150483,-0.0034587523,-31.876509,1.3823955,-2.09483,-0.24868125
0.19048414,-0.3160589,0.18058729,0.8009356,0.7495244,-5.154085,-2.3611069,7.15009,-0.0034594492,-31.876348,1.3822913,-2.0942998,-0.24867603
0.19165276,-0.316057,0.1805703,0.8009342,0.749522,-5.1540494,-2.3611035,7.1497188,-0.003460159,-31.876179,1.3821863,-2.0937712,-0.24867038
0.19282137,-0.3160553,0.18055212,0.8009325,0.7495197,-5.154008,-2.3611002,7.149351,-0.003460924,-31.876003,1.3820815,-2.093237,-0.24866441
